samp,PO4,Cl,NO3_N,NH4_N,SO4,CaCO3,Diclofenac,Carbamazepine,Sulfamethazole,,,,
NERP01P,0.09,47,0.01,0.02,66,63.2,0.205,0.028,0.01,,,,
NERP01P,0.11,46,0.01,0.02,64,64,0.253,0.337,0.01,,,,
NERP01P,0.19,46,0.01,0.02,57,63.4,0.229,0.026,0.01,,,,
NERP01S,0.09,51,0.01,0.09,37,74.5,0.231,0.119,0.84,,,,
NERP01S,0.36,49,0.01,0.02,40,74,0.249,0.068,0.80,,,,
NERP01S,0.57,44,0.01,0.02,48,72.9,0.207,0.209,0.80,,,,
NERP01SW,0.08,58,0.8,0.06,94,67,1.404,0.258,0.15,,,,
NERP01SW,0.09,58,0.8,0.13,94,55.5,1.587,0.383,0.27,,,,
NERP01SW,0.1,58,0.8,0.17,94,66.8,1.426,0.857,0.41,,,,
NERP01X,0.58,57,0.01,0.85,40,72.3,0.871,0.377,0.01,,,,
NERP01X,0.55,56,0.01,0.15,40,71.5,0.815,0.453,0.01,,,,
NERP01X,0.63,56,0.01,0.39,39,72.7,0.844,0.745,0.01,,,,
NERP02P,0.18,107,0.01,0.02,90,65.6,18.653,1.862,0.04,,,,
NERP02P,0.14,92,0.01,0.33,77,64.5,13.990,1.107,0.05,,,,
NERP02P,0.17,107,0.2,0.19,90,66,12.533,2.346,0.05,,,,
NERP02S,0.88,89,0.01,1.01,84,60.1,15.722,1.873,0.10,,,,
NERP02S,0.76,89,0.01,0.02,84,65.5,18.496,2.158,0.18,,,,
NERP02S,0.82,89,0.01,0.56,83,73.2,18.200,2.920,0.28,,,,
NERP02SW,0.15,110,6.9,0.05,138,66,13.568,2.450,0.51,,,,
NERP02SW,0.26,110,7,0.04,136,65.9,12.378,0.553,2.38,,,,
NERP02SW,0.37,110,6.9,0.07,137,64.9,11.496,2.663,1.50,,,,
NERP02X,0.55,108,2.7,3.97,141,96.3,9.046,2.267,0.17,,,,
NERP02X,0.54,107,2.6,2.54,140,93.4,17.391,2.446,0.01,,,,
NERP02X,0.48,108,2.4,3.95,141,94.2,16.477,2.596,0.04,,,,
NERD01P,0.02,57,0.01,1.56,88,75.3,1.295,0.810,0.01,,,,
NERD01P,0.02,57,0.2,1.8,88,75.2,0.375,1.146,0.01,,,,
NERD01P,0.02,57,0.01,1.92,88,0,1.371,0.814,0.01,,,,
NERD01S,0.02,54,0.01,0.39,92,80,1.170,0.804,0.10,,,,
NERD01S,0.02,54,0.01,0.38,93,78,0.892,0.493,0.29,,,,
NERD01S,0.02,54,0.01,0.28,92,0,7.109,2.977,0.49,,,,
NERD01SW,0.42,60,0.01,1.88,50,55.5,0.288,0.434,0.25,,,,
NERD01SW,0.43,61,0.01,1.59,50,51.8,1.627,0.659,0.24,,,,
NERD01SW,0.42,61,0.01,1.27,51,60.4,0.431,0.425,0.24,,,,
NERD01X,0.3,56,0.2,0.72,29,52,0.838,0.130,0.12,,,,
NERD01X,0.31,56,0.2,0.49,28,57.3,1.871,0.720,0.01,,,,
NERD01X,0.3,56,0.2,0.35,29,0,0.831,0.698,0.01,,,,
NERD02P,0.46,109,0.01,0.25,87,79.8,6.958,2.923,0.03,,,,
NERD02P,0.22,109,0.01,1.08,88,81.4,11.474,2.387,0.01,,,,
NERD02P,0.15,110,0.2,0.23,88,80.9,8.509,0.816,0.02,,,,
NERD02S,2.99,123,0.01,8.11,24,102.7,9.333,1.562,0.32,,,,
NERD02S,2.33,123,0.01,8.27,24,113.5,9.297,2.053,0.33,,,,
NERD02S,2.61,123,0.01,5.78,24,98.2,11.834,1.871,0.32,,,,
NERD02SW,0.43,115,6.2,0.28,136,56.5,35.093,3.160,0.21,,,,
NERD02SW,0.44,121,6,1,139,56.3,23.739,2.029,0.28,,,,
NERD02SW,0.42,121,6.4,1.23,139,56.8,6.396,2.188,0.20,,,,
NERD02X,0.31,104,2.8,0.2,132,55.1,12.698,3.550,0.19,,,,
NERD02X,0.32,104,2.3,0.22,132,56.8,3.741,2.330,0.27,,,,
NERD02X,0.31,105,4.6,0.21,132,54.5,5.154,3.010,0.23,,,,
NERD03P,0.46,127,0.2,0.72,139,70,12.220,3.271,1.07,,,,
NERD03P,0.56,133,3.5,1.03,142,67.1,11.069,3.202,1.02,,,,
NERD03P,0.48,129,0.4,0.08,140,60.1,6.648,2.680,1.12,,,,
NERD03S,0.21,130,2.4,0.59,24,68.3,10.686,2.899,0.05,,,,
NERD03S,0.47,126,1,0.02,24,53.6,10.656,2.778,0.36,,,,
NERD03S,0.48,129,0.8,1.03,24,67.6,8.671,2.653,0.12,,,,
NERD03SW,0.55,111,7.6,1.97,136,105,7.098,2.186,0.05,,,,
NERD03SW,0.54,115,7,1.62,139,60.3,2.356,1.855,3.03,,,,
NERD03SW,0.54,112,0.01,1.71,139,56,3.040,4.423,0.01,,,,
NERD03X,0.2,121,2,0.1,140,66,11.381,2.692,0.09,,,,
NERD03X,0.04,121,2.2,0.09,140,67.2,12.170,2.818,0.17,,,,
NERD03X,0.11,120,0.8,0.1,139,0,11.792,2.829,0.12,,,,
